Country,Medal Count
United States,4335
United Kingdom,1594
France,1314
Italy,1228
Germany,1211
Australia,1075
Hungary,1053
Sweden,1021
Netherlands,782
Japan,704
China,679
Russia,638
Canada,592
Norway,537
Poland,499
Denmark,491
Korea,466
Finland,451
Belgium,408
Cuba,395
