total cases,Long,Lat,country
230.4452213,67.709953,35.33911,Afghanistan
246.9979757,20.1683,42.5533,Albania
317.9937106,1.6596,29.4339,Algeria
91.36739024,1.5218,43.9063,Andorra
133.6562756,17.8739,-9.8027,Angola
12.76714533,-61.7964,18.4608,Antigua and Barbuda
1294.670228,-63.6167,-37.0161,Argentina
401.0648327,45.0382,41.4691,Armenia
168.6060497,149.0124,-34.0735,Australia
610.073766,14.5501,48.9162,Austria
471.38095,47.5769,41.5431,Azerbaijan
89.13472948,-78.035889,26.425885,Bahamas
307.056998,50.55,27.4275,Bahrain
720.3457503,90.3563,25.085,Bangladesh
27.25802634,-59.5432,14.5939,Barbados
452.7228733,27.9534,55.1098,Belarus
758.1952255,4.3517,52.2503,Belgium
105.394497,-88.4976,18.5899,Belize
57.48043145,2.3158,10.7077,Benin
27.47726333,90.4336,28.9142,Bhutan
408.6330873,-63.5887,-14.8902,Bolivia
336.7372863,17.6791,45.3159,Bosnia and Herzegovina
124.2577965,24.6849,-20.9285,Botswana
2798.473155,-49.8362,-14.427,Brazil
13.11487705,114.7277,5.9353,Brunei
454.3038631,25.4858,44.1339,Bulgaria
86.9655104,-1.5616,13.6383,Burkina Faso
358.0195525,95.956,23.3162,Burma
29.73213749,29.9189,-1.9731,Burundi
109.7816014,-23.0418,17.9388,Cabo Verde
19.62141687,104.9167,12.95,Cambodia
163.8535932,11.5021,5.248,Cameroon
723.8542671,-85.3232,52.6538,Canada
70.4485628,20.9394,8.0111,Central African Republic
48.24935233,18.7322,16.8542,Chad
775.2257736,-70.6505,-32.0376,Chile
308.8769982,116.4142,41.5824,China
1310.146175,-74.0721,6.111,Colombia
31.54362059,43.3333,-10.2455,Comoros
84.42156123,15.8277,1.172,Congo (Brazzaville)
135.9669077,21.7587,-2.6383,Congo (Kinshasa)
418.3754295,-83.7534,11.1489,Costa Rica
151.5354744,-5.5471,8.94,Cote d'Ivoire
465.0655868,15.2,46.5,Croatia
114.7388339,-77.781167,22.921757,Cuba
160.5646287,33.4299,36.5264,Cyprus
881.457316,15.473,51.2175,Czechia
418.3575026,9.5018,57.6639,Denmark
26.68332813,,,Diamond Princess
76.51797175,42.5903,13.2251,Djibouti
10.24695077,-61.371,16.815,Dominica
419.9738087,-70.1627,20.1357,Dominican Republic
466.2370642,-78.1834,-0.4312,Ecuador
381.5625768,30.802498,28.220553,Egypt
217.6120401,-88.8965,15.1942,El Salvador
72.70488292,10.2679,3.0508,Equatorial Guinea
35.38361203,39.7823,16.5794,Eritrea
175.1199589,25.0136,59.9953,Estonia
102.6596318,31.4659,-25.1225,Eswatini
356.0702178,40.4897,10.545,Ethiopia
7.280109889,178.065,-16.3134,Fiji
193.7756435,25.748151,63.32411,Finland
1658.197515,2.2137,47.6276,France
98.18859404,11.6094,0.5963,Gabon
61.74139616,-15.3101,14.8432,Gambia
483.6103804,43.3569,43.7154,Georgia
1261.171281,13.405,53.92,Germany
234.8786921,-1.0232,9.3465,Ghana
377.1829795,21.8243,40.4742,Greece
11.26942767,-61.679,13.5165,Grenada
374.4355752,-90.2308,17.1835,Guatemala
117.6647781,-9.6966,11.3456,Guinea
49.54795657,-15.1804,13.2037,Guinea-Bissau
80.04373804,-58.93018,6.260416,Guyana
100.6329966,-72.2852,20.3712,Haiti
5.196152423,12.4534,43.3029,Holy See
353.4105262,-86.2419,16.6,Honduras
575.9930555,19.5033,48.5625,Hungary
76.36753237,-19.0208,66.3631,Iceland
3223.403326,77.10898,30.046519,India
887.9200414,113.9213,0.6107,Indonesia
1123.34456,53.688046,33.827908,Iran
774.5740765,43.679291,34.623191,Iraq
348.0718317,-7.6921,54.5424,Ireland
680.7701521,34.851612,32.446051,Israel
1471.493799,12.48366722,43.29277044,Italy
115.4556192,-77.2975,19.5096,Jamaica
491.5536593,139.446921,37.111343,Japan
550.3235412,36.51,32.64,Jordan
453.7984134,66.9237,49.4196,Kazakhstan
312.0865265,37.9062,1.3764,Kenya
258.2363259,127.766922,37.307757,"Korea, South"
228.7640706,20.902977,44.002636,Kosovo
390.4330929,47.481766,30.71166,Kuwait
285.7551399,74.766098,42.60438,Kyrgyzstan
6.403124237,102.495496,21.25627,Laos
212.534703,24.6032,58.2796,Latvia
447.1297351,35.8623,35.2547,Lebanon
64.31951492,28.2336,-28.21,Lesotho
42.17819342,-9.429499,7.828055,Liberia
320.7491231,17.228331,27.7351,Libya
47.90615827,9.55,48.54,Liechtenstein
390.147408,23.8813,56.5694,Lithuania
217.784297,6.1296,51.2153,Luxembourg
3,,,MS Zaandam
133.2929105,46.869107,-17.366947,Madagascar
85.6562899,34.3015,-11.8543,Malawi
354.1722745,101.975766,5.610484,Malaysia
118.1820629,73.2207,4.6028,Maldives
85.99418585,-3.996166,18.970692,Mali
116.6704761,14.3754,37.3375,Malta
2,171.1845,8.5315,Marshall Islands
122.9268075,-10.9408,22.4079,Mauritania
23.21637353,57.552152,-18.948404,Mauritius
1209.289047,-99.7233,20.8969,Mexico
384.5399849,28.3699,48.8116,Moldova
31.27299154,7.4167,45.1333,Monaco
36.16628264,103.8467,48.2625,Mongolia
225.1599432,19.37439,44.108678,Montenegro
668.6411594,-7.0926,33.1917,Morocco
140.2390816,35.529562,-17.265695,Mozambique
162.2313163,18.4904,-21.5576,Namibia
513.0233913,84.25,29.5667,Nepal
920.4612974,4.918688,54.000906,Netherlands
46.77606225,174.886,-39.5006,New Zealand
78.08328887,-85.207229,14.265416,Nicaragua
60.28266749,8.081666,19.007789,Niger
307.1953776,8.6753,10.482,Nigeria
292.1095685,21.7453,43.0086,North Macedonia
230.1456061,8.4689,61.872,Norway
360.399778,55.923255,22.912583,Oman
