country,total deaths(lg),total cases(lg),deaths per million,Land
Netherlands,4.061640934,5.907616635,25.93462936,Europe
New Zealand,1.397940009,3.33485569,2.276839915,Oceania
Nicaragua,2.217483944,3.781468143,4.990691335,America
Niger,2.017033339,3.521530341,2.072679425,Africa
Nigeria,3.110252917,4.942538809,2.500599928,Africa
North Macedonia,3.39846085,4.92079617,34.66140505,Europe
Norway,2.639486489,4.695192634,8.967942908,Europe
Oman,3.175801633,5.110141718,17.13300908,Asia
Pakistan,4.007577098,5.683207391,6.787341158,Asia
Palestine,3.146128036,5.139891674,16.56604962,Asia
Panama,3.604442066,5.392327558,30.53108252,America
Papua New Guinea,0.954242509,2.892094603,1.002995513,Asia
Paraguay,3.354492601,5.033150225,17.8083969,America
Peru,4.576110894,6.006524657,33.80522149,America
Philippines,3.965859937,5.675836977,9.184661126,Asia
Poland,4.455666955,6.112228852,27.46756269,Europe
Portugal,3.839226574,5.616662425,26.02454611,Europe
Qatar,2.389166084,5.157861558,9.221605066,Asia
Romania,4.197749068,5.800897768,28.62846486,Europe
Russia,4.750284633,6.495176072,19.63647117,Europe
Rwanda,1.963787827,3.923399466,2.665145399,Africa
Saint Kitts and Nevis,,1.505149978,,America
Saint Lucia,0.698970004,2.547774705,5.218141432,America
Saint Vincent and the Grenadines,,2.08278537,,America
Samoa,,0.301029996,,Oceania
San Marino,1.770852012,3.385248682,41.69489177,Europe
Sao Tome and Principe,1.230448921,3.006037955,8.807326496,Africa
Saudi Arabia,3.793999801,5.559596646,13.36977935,Asia
Senegal,2.612783857,4.281941933,4.948333053,Africa
Serbia,3.506640306,5.528817752,21.7229602,Europe
Seychelles,,2.439332694,,Africa
Sierra Leone,1.880813592,3.416806872,3.086583872,Africa
Singapore,1.462397998,4.767890205,2.226432123,Asia
Slovakia,3.330007701,5.254168478,19.78891104,Europe
Slovenia,3.430880946,5.086900582,36.01806491,Europe
Solomon Islands,,1.230448921,,Oceania
Somalia,2.113943352,3.673389578,2.860069929,Africa
South Africa,4.454372212,6.024141133,21.9092218,Africa
South Korea,2.962369336,4.79077057,4.229184319,Asia
South Sudan,1.799340549,3.551205944,2.372340616,Africa
Spain,4.706179914,6.285166718,32.97439916,Europe
Sri Lanka,2.309630167,4.636477866,3.086583872,Asia
Sudan,3.166726056,4.367654047,5.786017629,Africa
Suriname,2.086359831,3.7930916,14.42102632,America
Sweden,3.940864976,5.640857927,29.3959521,Europe
Switzerland,3.88337749,5.655422747,29.72108679,Europe
Syria,2.851869601,4.058198188,6.373931283,Asia
Taiwan,0.84509804,2.902546779,0.542217668,Asia
Tajikistan,1.954242509,4.123721006,3.071807286,Asia
Tanzania,1.322219295,2.706717782,0.593295879,Africa
Thailand,1.799340549,3.855094951,0.950263121,Asia
Timor,,1.643452676,,Asia
Togo,1.832508913,3.560265398,2.866007676,Africa
Trinidad and Tobago,2.103803721,3.854306042,9.526121981,America
Tunisia,3.669874502,5.143451999,19.89087731,Africa
Turkey,4.319751293,6.344127293,15.73480219,Asia
Uganda,2.399673721,4.546740025,2.342434631,Africa
Ukraine,4.285129555,6.036228345,20.99695216,Europe
United Arab Emirates,2.825426118,5.31769152,8.224414873,Asia
United Kingdom,4.867007611,6.397284772,32.93167169,Europe
US,5.538745859,7.30033646,32.31894181,America
Uruguay,2.257678575,4.281465173,7.218379319,America
Uzbekistan,2.788168371,4.886829005,4.283106349,Asia
Vanuatu,,0,,Oceania
Vatican,,1.431363764,,Europe
Venezuela,3.011993115,5.055217735,6.012570166,America
Vietnam,1.544068044,3.165837625,0.6,Asia
Yemen,2.785329835,3.322012439,4.522388749,Asia
Zambia,2.588831726,4.316494539,4.594017849,Africa
Zimbabwe,2.559906625,4.141982516,4.941963173,Africa
