date,total cases and total deaths (M),Symbol
2020/3/18,8866.0,total deaths
2020/3/18,83317.0,total recovered
2020/3/19,246584.0,total cases
2020/3/19,9978.0,total deaths
2020/3/19,84958.0,total recovered
2020/3/20,277361.0,total cases
2020/3/20,11460.0,total deaths
2020/3/20,87403.0,total recovered
2020/3/21,309363.0,total cases
2020/3/21,13182.0,total deaths
2020/3/21,91650.0,total recovered
2020/3/22,344194.0,total cases
2020/3/22,14857.0,total deaths
2020/3/22,97867.0,total recovered
2020/3/23,387045.0,total cases
2020/3/23,16798.0,total deaths
2020/3/23,98335.0,total recovered
2020/3/24,428205.0,total cases
2020/3/24,19083.0,total deaths
2020/3/24,107974.0,total recovered
2020/3/25,479223.0,total cases
2020/3/25,21882.0,total deaths
2020/3/25,113753.0,total recovered
2020/3/26,542053.0,total cases
2020/3/26,24902.0,total deaths
2020/3/26,122125.0,total recovered
2020/3/27,607114.0,total cases
2020/3/27,28396.0,total deaths
2020/3/27,130910.0,total recovered
2020/3/28,674360.0,total cases
2020/3/28,32112.0,total deaths
2020/3/28,139421.0,total recovered
2020/3/29,733612.0,total cases
2020/3/29,35588.0,total deaths
2020/3/29,148877.0,total recovered
2020/3/30,798890.0,total cases
2020/3/30,39640.0,total deaths
2020/3/30,164214.0,total recovered
2020/3/31,875739.0,total cases
2020/3/31,44389.0,total deaths
2020/3/31,177804.0,total recovered
2020/4/1,958601.0,total cases
2020/4/1,50344.0,total deaths
2020/4/1,193076.0,total recovered
2020/4/2,1041662.0,total cases
2020/4/2,56197.0,total deaths
2020/4/2,210219.0,total recovered
2020/4/3,1125086.0,total cases
2020/4/3,62319.0,total deaths
2020/4/3,225641.0,total recovered
2020/4/4,1183501.0,total cases
2020/4/4,68490.0,total deaths
2020/4/4,246053.0,total recovered
2020/4/5,1256089.0,total cases
2020/4/5,73673.0,total deaths
2020/4/5,259889.0,total recovered
2020/4/6,1329228.0,total cases
2020/4/6,79599.0,total deaths
2020/4/6,276598.0,total recovered
2020/4/7,1399055.0,total cases
2020/4/7,87833.0,total deaths
2020/4/7,299860.0,total recovered
2020/4/8,1482433.0,total cases
2020/4/8,94581.0,total deaths
2020/4/8,328742.0,total recovered
2020/4/9,1569454.0,total cases
2020/4/9,102328.0,total deaths
2020/4/9,353996.0,total recovered
2020/4/10,1654968.0,total cases
2020/4/10,109717.0,total deaths
2020/4/10,375734.0,total recovered
2020/4/11,1729309.0,total cases
2020/4/11,115956.0,total deaths
2020/4/11,401984.0,total recovered
2020/4/12,1849041.0,total cases
2020/4/12,121783.0,total deaths
2020/4/12,421367.0,total recovered
2020/4/13,1919797.0,total cases
2020/4/13,127705.0,total deaths
2020/4/13,448624.0,total recovered
2020/4/14,2003732.0,total cases
2020/4/14,134675.0,total deaths
2020/4/14,473698.0,total recovered
2020/4/15,2080830.0,total cases
2020/4/15,143023.0,total deaths
2020/4/15,510237.0,total recovered
2020/4/16,2176408.0,total cases
2020/4/16,150302.0,total deaths
2020/4/16,541120.0,total recovered
2020/4/17,2264120.0,total cases
2020/4/17,158662.0,total deaths
2020/4/17,567304.0,total recovered
2020/4/18,2341473.0,total cases
2020/4/18,164686.0,total deaths
2020/4/18,591170.0,total recovered
2020/4/19,2418166.0,total cases
2020/4/19,169946.0,total deaths
2020/4/19,622953.0,total recovered
2020/4/20,2494115.0,total cases
2020/4/20,175822.0,total deaths
2020/4/20,645131.0,total recovered
2020/4/21,2569728.0,total cases
2020/4/21,183003.0,total deaths
2020/4/21,679933.0,total recovered
2020/4/22,2650749.0,total cases
2020/4/22,189721.0,total deaths
2020/4/22,710018.0,total recovered
2020/4/23,2735103.0,total cases
2020/4/23,196546.0,total deaths
2020/4/23,738748.0,total recovered
2020/4/24,2819191.0,total cases
2020/4/24,203214.0,total deaths
2020/4/24,788777.0,total recovered
2020/4/25,2901458.0,total cases
2020/4/25,208851.0,total deaths
2020/4/25,816532.0,total recovered
2020/4/26,2973163.0,total cases
2020/4/26,212802.0,total deaths
2020/4/26,845344.0,total recovered
2020/4/27,3043202.0,total cases
2020/4/27,217472.0,total deaths
2020/4/27,873228.0,total recovered
2020/4/28,3118508.0,total cases
2020/4/28,224001.0,total deaths
2020/4/28,906440.0,total recovered
2020/4/29,3195544.0,total cases
2020/4/29,230727.0,total deaths
2020/4/29,948517.0,total recovered
2020/4/30,3279073.0,total cases
2020/4/30,236716.0,total deaths
2020/4/30,1013633.0,total recovered
2020/5/1,3367339.0,total cases
2020/5/1,241871.0,total deaths
2020/5/1,1051790.0,total recovered
2020/5/2,3446630.0,total cases
2020/5/2,247384.0,total deaths
2020/5/2,1092441.0,total recovered
2020/5/3,3523175.0,total cases
2020/5/3,250868.0,total deaths
2020/5/3,1124974.0,total recovered
2020/5/4,3600779.0,total cases
2020/5/4,254974.0,total deaths
2020/5/4,1159060.0,total recovered
2020/5/5,3681127.0,total cases
2020/5/5,260846.0,total deaths
2020/5/5,1195533.0,total recovered
2020/5/6,3771007.0,total cases
2020/5/6,267394.0,total deaths
2020/5/6,1241652.0,total recovered
2020/5/7,3859785.0,total cases
2020/5/7,272685.0,total deaths
2020/5/7,1281177.0,total recovered
2020/5/8,3950120.0,total cases
2020/5/8,278158.0,total deaths
2020/5/8,1317590.0,total recovered
2020/5/9,4034910.0,total cases
2020/5/9,282439.0,total deaths
2020/5/9,1371031.0,total recovered
2020/5/10,4110202.0,total cases
2020/5/10,286043.0,total deaths
2020/5/10,1404840.0,total recovered
2020/5/11,4187133.0,total cases
2020/5/11,289506.0,total deaths
2020/5/11,1451725.0,total recovered
2020/5/12,4271251.0,total cases
2020/5/12,295031.0,total deaths
2020/5/12,1488767.0,total recovered
2020/5/13,4356139.0,total cases
2020/5/13,300101.0,total deaths
2020/5/13,1544639.0,total recovered
2020/5/14,4452527.0,total cases
2020/5/14,305291.0,total deaths
2020/5/14,1584350.0,total recovered
2020/5/15,4548277.0,total cases
2020/5/15,310409.0,total deaths
2020/5/15,1632453.0,total recovered
2020/5/16,4643002.0,total cases
2020/5/16,314683.0,total deaths
2020/5/16,1688864.0,total recovered
2020/5/17,4720844.0,total cases
2020/5/17,317880.0,total deaths
2020/5/17,1729872.0,total recovered
2020/5/18,4809885.0,total cases
2020/5/18,321581.0,total deaths
2020/5/18,1782788.0,total recovered
2020/5/19,4906666.0,total cases
2020/5/19,326272.0,total deaths
2020/5/19,1834840.0,total recovered
2020/5/20,5008397.0,total cases
2020/5/20,331032.0,total deaths
2020/5/20,1893810.0,total recovered
2020/5/21,5114997.0,total cases
2020/5/21,335751.0,total deaths
2020/5/21,1945030.0,total recovered
2020/5/22,5221533.0,total cases
2020/5/22,341018.0,total deaths
2020/5/22,2053577.0,total recovered
2020/5/23,5326614.0,total cases
2020/5/23,344986.0,total deaths
2020/5/23,2108411.0,total recovered
2020/5/24,5420782.0,total cases
2020/5/24,347995.0,total deaths
2020/5/24,2163938.0,total recovered
2020/5/25,5507621.0,total cases
2020/5/25,349194.0,total deaths
2020/5/25,2227667.0,total recovered
2020/5/26,5601251.0,total cases
2020/5/26,353374.0,total deaths
2020/5/26,2282819.0,total recovered
2020/5/27,5704043.0,total cases
2020/5/27,358437.0,total deaths
2020/5/27,2346146.0,total recovered
2020/5/28,5822948.0,total cases
2020/5/28,363053.0,total deaths
2020/5/28,2413009.0,total recovered
2020/5/29,5944039.0,total cases
2020/5/29,367647.0,total deaths
2020/5/29,2490274.0,total recovered
2020/5/30,6080995.0,total cases
2020/5/30,371709.0,total deaths
2020/5/30,2560724.0,total recovered
2020/5/31,6187617.0,total cases
2020/5/31,374692.0,total deaths
2020/5/31,2637108.0,total recovered
2020/6/1,6283302.0,total cases
2020/6/1,377777.0,total deaths
2020/6/1,2692033.0,total recovered
2020/6/2,6404720.0,total cases
2020/6/2,382489.0,total deaths
2020/6/2,2796145.0,total recovered
2020/6/3,6519015.0,total cases
2020/6/3,387924.0,total deaths
2020/6/3,2875236.0,total recovered
2020/6/4,6649743.0,total cases
2020/6/4,393050.0,total deaths
2020/6/4,2945306.0,total recovered
2020/6/5,6781099.0,total cases
2020/6/5,397602.0,total deaths
2020/6/5,3014471.0,total recovered
2020/6/6,6915223.0,total cases
2020/6/6,401455.0,total deaths
2020/6/6,3086675.0,total recovered
2020/6/7,7027195.0,total cases
2020/6/7,404207.0,total deaths
2020/6/7,3141784.0,total recovered
2020/6/8,7129785.0,total cases
2020/6/8,407895.0,total deaths
2020/6/8,3293395.0,total recovered
2020/6/9,7254563.0,total cases
2020/6/9,412720.0,total deaths
2020/6/9,3375665.0,total recovered
2020/6/10,7389458.0,total cases
2020/6/10,417778.0,total deaths
2020/6/10,3454836.0,total recovered
2020/6/11,7527334.0,total cases
2020/6/11,422455.0,total deaths
2020/6/11,3540715.0,total recovered
2020/6/12,7655982.0,total cases
2020/6/12,426668.0,total deaths
2020/6/12,3620435.0,total recovered
2020/6/13,7791149.0,total cases
2020/6/13,430856.0,total deaths
2020/6/13,3706327.0,total recovered
2020/6/14,7923625.0,total cases
2020/6/14,434273.0,total deaths
2020/6/14,3777146.0,total recovered
2020/6/15,8043069.0,total cases
2020/6/15,437692.0,total deaths
2020/6/15,3857421.0,total recovered
2020/6/16,8184990.0,total cases
2020/6/16,444413.0,total deaths
2020/6/16,3955284.0,total recovered
2020/6/17,8328152.0,total cases
2020/6/17,449506.0,total deaths
2020/6/17,4074115.0,total recovered
2020/6/18,8468486.0,total cases
2020/6/18,454471.0,total deaths
2020/6/18,4155278.0,total recovered
2020/6/19,8648275.0,total cases
2020/6/19,460619.0,total deaths
2020/6/19,4250268.0,total recovered
2020/6/20,8804913.0,total cases
2020/6/20,464821.0,total deaths
2020/6/20,4366122.0,total recovered
2020/6/21,8932952.0,total cases
2020/6/21,468831.0,total deaths
2020/6/21,4434808.0,total recovered
2020/6/22,9071294.0,total cases
2020/6/22,472390.0,total deaths
2020/6/22,4526441.0,total recovered
2020/6/23,9237176.0,total cases
2020/6/23,477609.0,total deaths
2020/6/23,4630496.0,total recovered
2020/6/24,9408237.0,total cases
2020/6/24,482785.0,total deaths
2020/6/24,4746247.0,total recovered
2020/6/25,9586818.0,total cases
2020/6/25,487479.0,total deaths
2020/6/25,4839131.0,total recovered
2020/6/26,9778118.0,total cases
2020/6/26,492189.0,total deaths
2020/6/26,4945111.0,total recovered
2020/6/27,9955755.0,total cases
2020/6/27,496669.0,total deaths
2020/6/27,5051397.0,total recovered
2020/6/28,10119217.0,total cases
2020/6/28,499818.0,total deaths
2020/6/28,5140600.0,total recovered
2020/6/29,10273694.0,total cases
2020/6/29,503548.0,total deaths
2020/6/29,5235171.0,total recovered
2020/6/30,10447667.0,total cases
2020/6/30,508481.0,total deaths
2020/6/30,5352511.0,total recovered
2020/7/1,10665134.0,total cases
2020/7/1,513409.0,total deaths
2020/7/1,5468425.0,total recovered
2020/7/2,10874057.0,total cases
2020/7/2,518475.0,total deaths
2020/7/2,5753359.0,total recovered
2020/7/3,11075680.0,total cases
2020/7/3,523410.0,total deaths
2020/7/3,5863247.0,total recovered
2020/7/4,11269688.0,total cases
2020/7/4,527795.0,total deaths
2020/7/4,6059007.0,total recovered
2020/7/5,11452930.0,total cases
2020/7/5,531278.0,total deaths
2020/7/5,6178370.0,total recovered
2020/7/6,11617428.0,total cases
2020/7/6,535115.0,total deaths
2020/7/6,6302069.0,total recovered
2020/7/7,11828845.0,total cases
2020/7/7,541122.0,total deaths
2020/7/7,6447102.0,total recovered
2020/7/8,12042625.0,total cases
2020/7/8,546420.0,total deaths
2020/7/8,6605158.0,total recovered
2020/7/9,12269629.0,total cases
2020/7/9,551800.0,total deaths
2020/7/9,6739776.0,total recovered
2020/7/10,12502211.0,total cases
2020/7/10,557086.0,total deaths
2020/7/10,6879222.0,total recovered
2020/7/11,12719735.0,total cases
2020/7/11,561896.0,total deaths
2020/7/11,7004914.0,total recovered
2020/7/12,12912321.0,total cases
2020/7/12,565887.0,total deaths
2020/7/12,7116750.0,total recovered
2020/7/13,13103178.0,total cases
2020/7/13,569780.0,total deaths
2020/7/13,7257073.0,total recovered
2020/7/14,13324911.0,total cases
2020/7/14,575359.0,total deaths
2020/7/14,7399325.0,total recovered
2020/7/15,13556384.0,total cases
2020/7/15,580768.0,total deaths
2020/7/15,7559131.0,total recovered
2020/7/16,13808502.0,total cases
2020/7/16,586540.0,total deaths
2020/7/16,7711616.0,total recovered
2020/7/17,14050878.0,total cases
2020/7/17,593183.0,total deaths
2020/7/17,7895037.0,total recovered
2020/7/18,14287228.0,total cases
2020/7/18,598802.0,total deaths
2020/7/18,8045824.0,total recovered
2020/7/19,14500967.0,total cases
2020/7/19,602877.0,total deaths
2020/7/19,8133882.0,total recovered
2020/7/20,14707359.0,total cases
2020/7/20,607073.0,total deaths
2020/7/20,8293010.0,total recovered
2020/7/21,14940469.0,total cases
2020/7/21,613242.0,total deaths
2020/7/21,8467706.0,total recovered
2020/7/22,15221747.0,total cases
2020/7/22,620161.0,total deaths
2020/7/22,8647438.0,total recovered
2020/7/23,15504677.0,total cases
2020/7/23,630062.0,total deaths
2020/7/23,8823668.0,total recovered
2020/7/24,15785888.0,total cases
2020/7/24,636115.0,total deaths
2020/7/24,9051968.0,total recovered
2020/7/25,16040277.0,total cases
2020/7/25,641645.0,total deaths
2020/7/25,9271780.0,total recovered
2020/7/26,16253250.0,total cases
2020/7/26,645339.0,total deaths
2020/7/26,9415081.0,total recovered
2020/7/27,16479069.0,total cases
2020/7/27,650519.0,total deaths
2020/7/27,9586464.0,total recovered
2020/7/28,16731027.0,total cases
2020/7/28,656806.0,total deaths
2020/7/28,9756922.0,total recovered
2020/7/29,17022514.0,total cases
2020/7/29,663393.0,total deaths
2020/7/29,9959508.0,total recovered
2020/7/30,17302946.0,total cases
2020/7/30,669427.0,total deaths
2020/7/30,10173027.0,total recovered
2020/7/31,17593931.0,total cases
2020/7/31,675634.0,total deaths
2020/7/31,10372633.0,total recovered
2020/8/1,17842857.0,total cases
2020/8/1,681100.0,total deaths
2020/8/1,10553544.0,total recovered
2020/8/2,18074408.0,total cases
2020/8/2,685412.0,total deaths
2020/8/2,10692268.0,total recovered
2020/8/3,18280103.0,total cases
2020/8/3,690075.0,total deaths
2020/8/3,10914713.0,total recovered
2020/8/4,18536427.0,total cases
2020/8/4,696677.0,total deaths
2020/8/4,11138370.0,total recovered
2020/8/5,18812950.0,total cases
2020/8/5,703683.0,total deaths
2020/8/5,11360065.0,total recovered
2020/8/6,19098152.0,total cases
2020/8/6,710145.0,total deaths
2020/8/6,11548872.0,total recovered
2020/8/7,19379581.0,total cases
2020/8/7,716440.0,total deaths
2020/8/7,11740918.0,total recovered
2020/8/8,19638069.0,total cases
2020/8/8,721870.0,total deaths
2020/8/8,11941162.0,total recovered
2020/8/9,19863462.0,total cases
2020/8/9,726447.0,total deaths
2020/8/9,12119940.0,total recovered
2020/8/10,20090473.0,total cases
2020/8/10,731706.0,total deaths
2020/8/10,12284151.0,total recovered
2020/8/11,20346972.0,total cases
2020/8/11,737916.0,total deaths
2020/8/11,12589219.0,total recovered
2020/8/12,20624230.0,total cases
2020/8/12,744515.0,total deaths
2020/8/12,12829864.0,total recovered
2020/8/13,20913936.0,total cases
2020/8/13,750724.0,total deaths
2020/8/13,12993780.0,total recovered
2020/8/14,21216955.0,total cases
2020/8/14,760852.0,total deaths
2020/8/14,13277022.0,total recovered
2020/8/15,21464275.0,total cases
2020/8/15,766240.0,total deaths
2020/8/15,13445626.0,total recovered
2020/8/16,21680469.0,total cases
2020/8/16,770458.0,total deaths
2020/8/16,13678580.0,total recovered
2020/8/17,21888348.0,total cases
2020/8/17,774602.0,total deaths
2020/8/17,13889592.0,total recovered
2020/8/18,22146490.0,total cases
2020/8/18,781489.0,total deaths
2020/8/18,14117187.0,total recovered
2020/8/19,22426342.0,total cases
2020/8/19,788193.0,total deaths
2020/8/19,14335184.0,total recovered
2020/8/20,22698858.0,total cases
2020/8/20,794239.0,total deaths
2020/8/20,14542974.0,total recovered
2020/8/21,22959904.0,total cases
2020/8/21,799675.0,total deaths
2020/8/21,14711468.0,total recovered
2020/8/22,23224361.0,total cases
2020/8/22,805248.0,total deaths
2020/8/22,14921385.0,total recovered
2020/8/23,23430769.0,total cases
2020/8/23,809114.0,total deaths
