date,Total cases and total deaths (M),Symbol
2020/11/3,31634980,total recovered
2020/11/4,48203697,total cases
2020/11/4,1226752,total deaths
2020/11/4,31914299,total recovered
2020/11/5,48799240,total cases
2020/11/5,1234763,total deaths
2020/11/5,32217954,total recovered
2020/11/6,49442915,total cases
2020/11/6,1244381,total deaths
2020/11/6,32506315,total recovered
2020/11/7,50040908,total cases
2020/11/7,1251920,total deaths
2020/11/7,32805331,total recovered
2020/11/8,50520274,total cases
2020/11/8,1257688,total deaths
2020/11/8,33058571,total recovered
2020/11/9,51022748,total cases
2020/11/9,1264797,total deaths
2020/11/9,33315624,total recovered
2020/11/10,51580637,total cases
2020/11/10,1274783,total deaths
2020/11/10,33572984,total recovered
2020/11/11,52228245,total cases
2020/11/11,1285187,total deaths
2020/11/11,33953208,total recovered
2020/11/12,52875710,total cases
2020/11/12,1294946,total deaths
2020/11/12,34179447,total recovered
2020/11/13,53526599,total cases
2020/11/13,1304504,total deaths
2020/11/13,34481579,total recovered
2020/11/14,54121862,total cases
2020/11/14,1313512,total deaths
2020/11/14,34759398,total recovered
2020/11/15,54596104,total cases
2020/11/15,1319790,total deaths
2020/11/15,34990158,total recovered
2020/11/16,55127112,total cases
2020/11/16,1327640,total deaths
2020/11/16,35380888,total recovered
2020/11/17,55734998,total cases
2020/11/17,1338726,total deaths
2020/11/17,35814479,total recovered
2020/11/18,56361057,total cases
2020/11/18,1350039,total deaths
2020/11/18,36177589,total recovered
2020/11/19,57012958,total cases
2020/11/19,1360998,total deaths
2020/11/19,36551888,total recovered
2020/11/20,57680030,total cases
2020/11/20,1372825,total deaths
2020/11/20,36907312,total recovered
2020/11/21,58268894,total cases
2020/11/21,1381629,total deaths
2020/11/21,37246582,total recovered
2020/11/22,58757253,total cases
2020/11/22,1388685,total deaths
2020/11/22,37520306,total recovered
2020/11/23,59276210,total cases
2020/11/23,1397003,total deaths
2020/11/23,37931519,total recovered
2020/11/24,59865574,total cases
2020/11/24,1409759,total deaths
2020/11/24,38303698,total recovered
2020/11/25,60501579,total cases
2020/11/25,1421822,total deaths
2020/11/25,38741108,total recovered
2020/11/26,61086011,total cases
2020/11/26,1432564,total deaths
2020/11/26,39107984,total recovered
2020/11/27,61757100,total cases
2020/11/27,1443210,total deaths
2020/11/27,39489610,total recovered
2020/11/28,62355818,total cases
2020/11/28,1452974,total deaths
2020/11/28,39849316,total recovered
2020/11/29,62842162,total cases
2020/11/29,1459909,total deaths
2020/11/29,40167599,total recovered
2020/11/30,63347635,total cases
2020/11/30,1468577,total deaths
2020/11/30,40569855,total recovered
2020/12/1,63956130,total cases
2020/12/1,1481417,total deaths
2020/12/1,41046059,total recovered
2020/12/2,64603434,total cases
2020/12/2,1493824,total deaths
2020/12/2,41508985,total recovered
2020/12/3,65295914,total cases
2020/12/3,1506305,total deaths
2020/12/3,41935969,total recovered
2020/12/4,65976648,total cases
2020/12/4,1518704,total deaths
2020/12/4,42426586,total recovered
2020/12/5,66619544,total cases
2020/12/5,1528903,total deaths
2020/12/5,42862534,total recovered
2020/12/6,67158896,total cases
2020/12/6,1536100,total deaths
2020/12/6,43178578,total recovered
2020/12/7,67673996,total cases
2020/12/7,1544592,total deaths
2020/12/7,43591717,total recovered
2020/12/8,68311479,total cases
2020/12/8,1556866,total deaths
2020/12/8,44032488,total recovered
2020/12/9,68980972,total cases
2020/12/9,1569344,total deaths
2020/12/9,44458968,total recovered
2020/12/10,70475025,total cases
2020/12/10,1581982,total deaths
2020/12/10,44950194,total recovered
2020/12/11,71174074,total cases
2020/12/11,1594878,total deaths
2020/12/11,45428334,total recovered
2020/12/12,71797078,total cases
2020/12/12,1605103,total deaths
2020/12/12,46933277,total recovered
2020/12/13,72345678,total cases
2020/12/13,1612487,total deaths
2020/12/13,47328396,total recovered
2020/12/14,72870103,total cases
2020/12/14,1621452,total deaths
2020/12/14,47737930,total recovered
2020/12/15,73494536,total cases
2020/12/15,1635415,total deaths
2020/12/15,48187442,total recovered
2020/12/16,74228327,total cases
2020/12/16,1648970,total deaths
2020/12/16,48656444,total recovered
2020/12/17,74964751,total cases
2020/12/17,1662217,total deaths
2020/12/17,49115843,total recovered
2020/12/18,75682359,total cases
2020/12/18,1674862,total deaths
2020/12/18,49508080,total recovered
2020/12/19,76298735,total cases
2020/12/19,1685526,total deaths
2020/12/19,49986502,total recovered
2020/12/20,76832527,total cases
2020/12/20,1693205,total deaths
2020/12/20,50315491,total recovered
2020/12/21,77374480,total cases
2020/12/21,1702596,total deaths
2020/12/21,50767369,total recovered
2020/12/22,78020948,total cases
2020/12/22,1717055,total deaths
2020/12/22,51213767,total recovered
2020/12/23,78712545,total cases
2020/12/23,1730663,total deaths
2020/12/23,51645763,total recovered
2020/12/24,79384038,total cases
2020/12/24,1742301,total deaths
2020/12/24,52063246,total recovered
2020/12/25,79851573,total cases
2020/12/25,1750628,total deaths
2020/12/25,52379438,total recovered
2020/12/26,80364202,total cases
2020/12/26,1757722,total deaths
2020/12/26,52898934,total recovered
2020/12/27,80797122,total cases
2020/12/27,1764955,total deaths
2020/12/27,53248134,total recovered
2020/12/28,81285853,total cases
2020/12/28,1774390,total deaths
2020/12/28,53619396,total recovered
2020/12/29,81951541,total cases
2020/12/29,1789915,total deaths
2020/12/29,54071241,total recovered
2020/12/30,82708280,total cases
2020/12/30,1805008,total deaths
2020/12/30,54565046,total recovered
2020/12/31,83424446,total cases
2020/12/31,1818116,total deaths
2020/12/31,54951940,total recovered
