date,Total cases and total deaths (M),Symbol
2020/3/6,3460,total deaths
2020/3/6,55863,total recovered
2020/3/7,106098,total cases
2020/3/7,3564,total deaths
2020/3/7,58357,total recovered
2020/3/8,110047,total cases
2020/3/8,3803,total deaths
2020/3/8,60694,total recovered
2020/3/9,114219,total cases
2020/3/9,3993,total deaths
2020/3/9,62493,total recovered
2020/3/10,119041,total cases
2020/3/10,4267,total deaths
2020/3/10,64400,total recovered
2020/3/11,126702,total cases
2020/3/11,4611,total deaths
2020/3/11,66998,total recovered
2020/3/12,132492,total cases
2020/3/12,4917,total deaths
2020/3/12,68321,total recovered
2020/3/13,146879,total cases
2020/3/13,5414,total deaths
2020/3/13,70248,total recovered
2020/3/14,157952,total cases
2020/3/14,5834,total deaths
2020/3/14,72620,total recovered
2020/3/15,169222,total cases
2020/3/15,6470,total deaths
2020/3/15,76031,total recovered
2020/3/16,184032,total cases
2020/3/16,7153,total deaths
2020/3/16,78086,total recovered
2020/3/17,199976,total cases
2020/3/17,7964,total deaths
2020/3/17,80830,total recovered
2020/3/18,219535,total cases
2020/3/18,8866,total deaths
2020/3/18,83317,total recovered
2020/3/19,246584,total cases
2020/3/19,9978,total deaths
2020/3/19,84958,total recovered
2020/3/20,277361,total cases
2020/3/20,11460,total deaths
2020/3/20,87403,total recovered
2020/3/21,309363,total cases
2020/3/21,13182,total deaths
2020/3/21,91650,total recovered
2020/3/22,344194,total cases
2020/3/22,14857,total deaths
2020/3/22,97867,total recovered
2020/3/23,387045,total cases
2020/3/23,16798,total deaths
2020/3/23,98335,total recovered
2020/3/24,428205,total cases
2020/3/24,19083,total deaths
2020/3/24,107974,total recovered
2020/3/25,479223,total cases
2020/3/25,21882,total deaths
2020/3/25,113753,total recovered
2020/3/26,542053,total cases
2020/3/26,24902,total deaths
2020/3/26,122125,total recovered
2020/3/27,607114,total cases
2020/3/27,28396,total deaths
2020/3/27,130910,total recovered
2020/3/28,674360,total cases
2020/3/28,32112,total deaths
2020/3/28,139421,total recovered
2020/3/29,733612,total cases
2020/3/29,35588,total deaths
2020/3/29,148877,total recovered
2020/3/30,798890,total cases
2020/3/30,39640,total deaths
2020/3/30,164214,total recovered
2020/3/31,875739,total cases
2020/3/31,44389,total deaths
2020/3/31,177804,total recovered
2020/4/1,958601,total cases
